"id";"value"
"1";"Ot001";43.854786212881
"2";"Ot002";47.1569999667568
"3";"Ot003";46.1861042392614
"4";"Ot004";47.7651920799101
"5";"Ot005";44.8500698947642
"6";"Ot006";45.003650363293
"7";"Ot007";42.7106940827966
"10";"Ot008";42.9593900991054
"11";"Ot009";42.5383809564725
"12";"Ot010";43.5924967025781
"13";"Ot011";43.5365000004042
"14";"Ot012";42.6775272533398
"15";"Ot013";42.0895617727537
"16";"Ot014";41.8432930266316
"17";"Ot015";42.5062453707857
"18";"Ot016";41.3951326674599
"19";"Ot017";42.1772617011437
"20";"Ot018";42.5349299878735
"21";"Ot019";44.6868174057826
"22";"Ot020";44.3570334882984
"23";"Ot021";44.7547420245469
"24";"Ot022";43.5274210631185
"25";"Ot023";44.8305616648118
"26";"Ot024";45.7912284735611
"27";"Ot025";44.5463659799191
"28";"Ot026";43.2152494281036
"29";"Ot027";42.8457619749209
"30";"Ot028";42.2178153896119
"31";"Ot029";40.034828515459
"32";"Ot030";42.5194258584652
"33";"Ot031";42.4438432555473
"34";"Ot032";43.923435983403
"35";"Ot033";43.2112509556476
"36";"Ot034";45.2422325446662
"37";"Ot035";41.4131052707449
"38";"Ot036";43.4389375853151
"39";"Ot037";44.6230838184585
"40";"Ot038";42.2388359684162
"41";"Ot039";42.4695951644356
"42";"Ot040";43.7896408353895
"43";"Ot041";43.5567533866688
"44";"Ot042";42.1001073669319
"45";"Ot043";42.205169974685
"46";"Ot044";42.9954412401855
"47";"Ot045";42.5634480184154
"48";"Ot046";42.9918262684459
"49";"Ot047";42.6547404392737
"50";"Ot048";45.0388770264646
"51";"Ot049";43.0433908555985
"52";"Ot050";42.4741189347308
"53";"Ot051";43.4416536255097
"54";"Ot052";42.2004324966399
"55";"Ot053";44.4086472257254
"56";"Ot054";43.1999885689153
"57";"Ot055";43.5212024911123
"58";"Ot056";44.2546610403449
"59";"Ot057";42.9416836682043
"60";"Ot058";44.3941945202582
"61";"Ot059";44.5591314324568
"62";"Ot060";43.911462312844
"63";"Ot061";43.645283653026
"64";"Ot062";44.5980851924436
"65";"Ot063";43.2641703159082
"66";"Ot064";44.1546296149536
"67";"Ot065";44.2483010609442
"68";"Ot066";44.0506253902192
"69";"Ot067";42.6048543388606
"70";"Ot068";43.9526679557644
"71";"Ot069";44.997102093881
"72";"Ot070";43.7202677373522
"73";"Ot071";43.8675448819128
"74";"Ot072";43.083259377908
"75";"Ot073";42.8188533775738
"76";"Ot074";44.1871931496468
"77";"Ot075";43.559071616795
"78";"Ot076";42.4452233835811
"79";"Ot077";43.195326254555
"80";"Ot078";43.1881182116733
"81";"Ot079";43.1372328309628
"82";"Ot080";42.4824957762608
"83";"Ot081";42.9320736900901
"84";"Ot082";42.2024450653505
"85";"Ot083";42.8242852153168
"86";"Ot084";41.9188191298421
"87";"Ot085";40.3169644065514
"88";"Ot086";41.8080980369646
"89";"Ot087";41.1220838485491
"100";"Ot088";44.873926132535
"101";"Ot089";44.3539297159817
"102";"Ot090";44.6579223187774
"103";"Ot091";43.7578521709828
"104";"Ot092";44.176578578042
"105";"Ot093";45.9923270305203
"106";"Ot094";44.1009798147967
"107";"Ot095";42.7732670493678
"108";"Ot096";39.6272627365221
"109";"Ot097";42.8062719209574
"110";"Ot098";42.2937117348499
"111";"Ot099";41.5753394181625
"112";"Ot100";42.9791430960758
"113";"Ot101";42.4215226308112
"114";"Ot102";41.4761549168896
"115";"Ot103";41.5958537264158
"116";"Ot104";42.5426073691731
"117";"Ot105";40.037597545285
"119";"Ot106";40.9649714804149
"120";"Ot107";42.5007733443244
"121";"Ot108";43.1590872140449
"122";"Ot109";46.408411697298
"123";"Ot110";44.2996168680744
"124";"Ot111";42.0198817033604
"125";"Ot112";44.9312911964536
"126";"Ot113";43.0940130339579
"127";"Ot114";43.5244630016449
"128";"Ot115";43.4749912759496
"129";"Ot116";43.7534952462602
"130";"Ot117";46.0600156564914
"131";"Ot118";43.1275591771288
"132";"Ot119";45.0265906029146
"133";"Ot120";45.2618336216677
"134";"Ot121";43.8430504555158
"135";"Ot122";43.1318966468534
"136";"Ot123";42.0986872679717
"137";"Ot124";42.8913000842962
"138";"Ot125";41.956848218331
"139";"Ot126";42.9920867866878
"140";"Ot127";40.4320683921857
"141";"Ot128";41.8984766310383
"142";"Ot129";41.5469797928772
"143";"Ot130";44.9395972203889
"144";"Ot131";46.3156700182259
"145";"Ot132";44.6062550370374
"146";"Ot133";44.7347247253015
"147";"Ot134";45.1109211122026
"148";"Ot135";43.9146308854842
"149";"Ot136";44.9991529786298
"150";"Ot137";44.4943067655347
"151";"Ot138";44.3700748017567
"152";"Ot139";43.5822951834688
"153";"Ot140";44.1088051513094
"154";"Ot141";45.378591650037
"155";"Ot142";43.4630348557639
"156";"Ot143";44.3263731008511
"157";"Ot144";41.4147860264406
"158";"Ot145";45.0971694947045
"159";"Ot146";42.0462931080693
"160";"Ot147";40.8954348137287
"161";"Ot148";40.6568464082804
"162";"Ot149";41.5769873899138
"163";"Ot150";42.0461587261256
